アプリ,場所,インドネシア語（画面の表示）,日本語（併記）,直したい表現があれば記入
文型アプリ,画面の文字,Pola Kalimat Kaigo,介護の文型,
文型アプリ,画面の文字,— versi,,
文型アプリ,画面の文字,🔄 Perbarui,最新に更新,
文型アプリ,画面の文字,Catatan belajar disimpan di perangkat ini saja,学習記録はこの端末の中だけに保存されます。,
文型アプリ,画面の文字,Contoh kalimat dan soal ditulis khusus untuk lokasi kerja kaigo,例文・練習問題は介護の現場向けに書き下ろしたものです。,
文型アプリ,画面の文字,→ Kanji & Kosakata Kaigo,漢字・言葉のアプリへ,
文型アプリ,入力欄の説明,Cari pola / arti / contoh,文型・意味・例文で検索,
文型アプリ,メッセージ,import hashlib;print(hashlib.sha256('新しい合言葉'.encode()).hexdigest()),,
文型アプリ,メッセージ,Kata sandi kosong,未入力です,
文型アプリ,メッセージ,Kata sandi salah,合言葉が違います,
文型アプリ,メッセージ,"<p class=""loading"">Tidak ada hasil",該当なし</p>,
文型アプリ,メッセージ,✓ Sudah hafal,覚えた,
文型アプリ,メッセージ,△ Perlu diulang,要復習,
文型アプリ,メッセージ,>BENTUK,形</div><div class=,
文型アプリ,メッセージ,>ARTI,意味</div><div class=,
文型アプリ,メッセージ,>CATATAN,ポイント</div><div class=,
文型アプリ,メッセージ,Tidak ada soal untuk pilihan ini,この条件では問題がありません,
文型アプリ,メッセージ,✓ Benar,正解,
文型アプリ,メッセージ,✗ Salah,不正解,
文型アプリ,メッセージ,<br>(dihentikan,途中でやめました),
文型アプリ,メッセージ,"<p class=""hint"">Tidak ada",ありません</p>,
文型アプリ,メッセージ,Hapus semua catatan belajar?,学習記録をすべて消しますか？,
漢字アプリ,画面の文字,Kanji & Kosakata Kaigo ｜ 介護の漢字・言葉,,
漢字アプリ,画面の文字,Kanji & Kosakata Kaigo,,
漢字アプリ,画面の文字,Masukkan kata sandi,合言葉を入力してください,
漢字アプリ,画面の文字,Masuk,入る,
漢字アプリ,画面の文字,Tanyakan kata sandi kepada perusahaan Anda,,
漢字アプリ,画面の文字,Kanji・Kosakata kaigo・Urutan coretan,漢字・介護の言葉・書き順,
漢字アプリ,画面の文字,🌐 ID,,
漢字アプリ,画面の文字,Urutan Coretan,,
漢字アプリ,画面の文字,介護 / Kaigo,,
漢字アプリ,画面の文字,Urut: level (mudah dulu),レベル順,
漢字アプリ,画面の文字,Urut: paling sering dipakai,頻度順,
漢字アプリ,画面の文字,Urut: coretan sedikit,画数が少ない順,
漢字アプリ,画面の文字,Urut: coretan banyak,画数が多い順,
漢字アプリ,画面の文字,Tampilkan semua,すべて,
漢字アプリ,画面の文字,Belum dipelajari,未学習,
漢字アプリ,画面の文字,Perlu diulang,要復習,
漢字アプリ,画面の文字,Sudah hafal,覚えた,
漢字アプリ,画面の文字,Memuat data… 読み込み中…,,
漢字アプリ,画面の文字,施設独自 / Fasilitas,,
漢字アプリ,画面の文字,現場 / Kerja,,
漢字アプリ,画面の文字,Semua bidang,分野すべて,
漢字アプリ,画面の文字,介護（ケア）,Perawatan lansia,
漢字アプリ,画面の文字,声かけ,Kalimat untuk lansia,
漢字アプリ,画面の文字,医療・症状,Medis & gejala,
漢字アプリ,画面の文字,認知症,Demensia,
漢字アプリ,画面の文字,リハビリ,Rehabilitasi,
漢字アプリ,画面の文字,身体・部位,Bagian tubuh,
漢字アプリ,画面の文字,施設・職種,Fasilitas & staf,
漢字アプリ,画面の文字,記録・勤務,Catatan & shift,
漢字アプリ,画面の文字,安全,Keselamatan,
漢字アプリ,画面の文字,健康,Kesehatan,
漢字アプリ,画面の文字,生活・手続き,Kehidupan,
漢字アプリ,画面の文字,作業一般,Pekerjaan umum,
漢字アプリ,画面の文字,製造・工場,Pabrik,
漢字アプリ,画面の文字,品質・管理,Kualitas,
漢字アプリ,画面の文字,小分類すべて,Semua sub-bidang,
漢字アプリ,画面の文字,Ketuk kata untuk melihat kanji penyusunnya,熟語をタップすると、使われている漢字の書き順を確認できます,
漢字アプリ,画面の文字,■ hijau = sudah hafal,緑＝覚えた,
漢字アプリ,画面の文字,■ merah = perlu diulang,赤＝要復習,
漢字アプリ,画面の文字,＋ 施設の言葉を追加する,Tambah kosakata,
漢字アプリ,画面の文字,施設で使う言葉をこの端末に追加できます。全員に配るときは「CSVを書き出す」で保存し、,,
漢字アプリ,画面の文字,に貼り付けてGitHubへアップロードしてください（使用説明書 2-8）。,,
漢字アプリ,画面の文字,追加,Tambah,
漢字アプリ,画面の文字,Memuat… 読み込み中…,,
漢字アプリ,画面の文字,Kanji,漢字,
漢字アプリ,画面の文字,Kosakata,熟語,
漢字アプリ,画面の文字,問題 → Cara baca,読み,
漢字アプリ,画面の文字,問題 → Arti,意味,
漢字アプリ,画面の文字,Cara baca → 問題,読み→漢字・熟語,
漢字アプリ,画面の文字,Arti → 問題,意味→漢字・熟語,
漢字アプリ,画面の文字,Semua level,,
漢字アプリ,画面の文字,Semua kanji,全部,
漢字アプリ,画面の文字,Mulai,開始,
漢字アプリ,画面の文字,Hafal 0,,
漢字アプリ,画面の文字,Ulang 0,,
漢字アプリ,画面の文字,Ketuk kartu untuk melihat jawaban,タップで答え,
漢字アプリ,画面の文字,Lihat jawaban,答えを見る,
漢字アプリ,画面の文字,Belum hafal,まだ（1）,
漢字アプリ,画面の文字,Hafal,覚えた（2）,
漢字アプリ,画面の文字,Selesai!,おつかれさま！,
漢字アプリ,画面の文字,Ulangi,もう一度,
漢字アプリ,画面の文字,Ulang yang salah,要復習だけ,
漢字アプリ,画面の文字,Urut: level,レベル順,
漢字アプリ,画面の文字,Coretan sedikit,画数少ない順,
漢字アプリ,画面の文字,Coretan banyak,画数多い順,
漢字アプリ,画面の文字,▶ Ketuk gambar kanji untuk melihat animasi coretan satu per satu,文字をタップすると1画ずつ書きます,
漢字アプリ,画面の文字,Tampilkan lagi,もっと表示,
漢字アプリ,画面の文字,PERLU DIULANG,要復習,
漢字アプリ,画面の文字,Simpan catatan belajar,学習記録を書き出す,
漢字アプリ,画面の文字,Hapus semua catatan,記録を消す,
漢字アプリ,画面の文字,Versi,版：,
漢字アプリ,画面の文字,🔄 Perbarui,最新に更新,
漢字アプリ,画面の文字,"Kalau ada kata baru tapi belum muncul, tekan tombol ini",新しい言葉が出ないときはこれを押してください,
漢字アプリ,画面の文字,Sumber data / データ出典（オープンライセンス）,,
漢字アプリ,画面の文字,Cara baca・arti・jumlah coretan・level JLPT：,,
漢字アプリ,画面の文字,"（KANJIDIC2 / EDRDG, CC BY-SA 4.0）",contoh kata・radikal：,
漢字アプリ,画面の文字,Kanji alive,,
漢字アプリ,画面の文字,"（University of Chicago, CC BY 4.0）",urutan coretan：,
漢字アプリ,画面の文字,"（Ulrich Apel, CC BY-SA 3.0）",level kosakata：,
漢字アプリ,画面の文字,"（tanos.co.uk, CC BY 4.0）",,
漢字アプリ,画面の文字,※ JLPTは2010年以降、公式の漢字リストを公表していません。本ツールのレベル区分は上記データセットの分類（N5 79字・N4 166字・N3 367字＝累計612字）に基づきます。,,
漢字アプリ,画面の文字,※ Terjemahan Bahasa Indonesia dibuat dengan bantuan AI dari arti bahasa Inggris,インドネシア語訳は英語原文からAIで作成しています。,
漢字アプリ,画面の文字,※ Catatan belajar hanya tersimpan di perangkat Anda,学習記録は端末内にのみ保存されます。,
漢字アプリ,画面の文字,ARTI,意味,
漢字アプリ,画面の文字,KANJI PENYUSUN,使われている漢字（タップで書き順）,
漢字アプリ,画面の文字,Sudah hafal,この言葉を覚えた,
漢字アプリ,画面の文字,URUTAN CORETAN,書き順（1画ずつ）,
漢字アプリ,画面の文字,▶ Putar ulang,再生,
漢字アプリ,画面の文字,CARA BACA,読み方,
漢字アプリ,画面の文字,KATA YANG MEMAKAI KANJI INI,この字を使う言葉（タップで詳しく）,
漢字アプリ,画面の文字,RADIKAL,部首,
漢字アプリ,画面の文字,Sudah hafal,この漢字を覚えた,
漢字アプリ,入力欄の説明,Cari kanji / cara baca / arti … 検索,,
漢字アプリ,入力欄の説明,Cari kosakata / cara baca / arti … 熟語・読み・意味で検索,,
漢字アプリ,入力欄の説明,Cari kanji / jumlah coretan … 検索,,
漢字アプリ,メッセージ,import hashlib;print(hashlib.sha256('新しい合言葉'.encode()).hexdigest()),,
漢字アプリ,メッセージ,Kata sandi kosong,未入力です,
漢字アプリ,メッセージ,Kata sandi salah,合言葉が違います,
漢字アプリ,メッセージ,)}・介護 ${cnt(,,
漢字アプリ,メッセージ,"<option value=""all"">小分類すべて",Semua sub-bidang</option>,
漢字アプリ,メッセージ,"<div class=""loading"">Memuat… 読み込み中…</div>",,
漢字アプリ,メッセージ,✓ Sudah hafal,覚えた,
漢字アプリ,メッセージ,↻ Perlu diulang,要復習,
漢字アプリ,メッセージ,Belum ditandai,まだ記録なし,
漢字アプリ,メッセージ,Ketuk kartu untuk jawaban,タップで答え,
漢字アプリ,メッセージ,Sudah hafal?,覚えていましたか？,
漢字アプリ,メッセージ,"<div style=""width:100%;font-size:.75rem;font-weight:800;color:var(--muted)"">KANJI",漢字</div>,
漢字アプリ,メッセージ,"<div style=""width:100%;font-size:.75rem;font-weight:800;color:var(--muted);margin-top:.5rem"">KOSAKATA",熟語</div>,
漢字アプリ,メッセージ,熟語 → Cara baca,読み,
漢字アプリ,メッセージ,漢字 → Cara baca,読み,
漢字アプリ,メッセージ,熟語 → Arti,意味,
漢字アプリ,メッセージ,漢字 → Arti,意味,
漢字アプリ,メッセージ,Cara baca → 熟語,読み→熟語,
漢字アプリ,メッセージ,Cara baca → 漢字,読み→漢字,
漢字アプリ,メッセージ,Arti → 熟語,意味→熟語,
漢字アプリ,メッセージ,Arti → 漢字,意味→漢字,
漢字アプリ,メッセージ,Hapus semua catatan belajar?,学習記録をすべて消しますか？,
